Department,Designation,Experience,CollegeTier,Salary
Support,Associate,3,Tier 2,633712
IT,Director,6,Tier 3,1561463
Sales,Senior Dev,2,Tier 2,812485
Operations,Director,1,Tier 3,1283302
Operations,Director,14,Tier 2,2216711
HR,Manager,4,Tier 3,1133863
Finance,Manager,0,Tier 2,1019129
HR,Director,3,Tier 2,1496942
Sales,Associate,19,Tier 3,1558594
IT,Associate,2,Tier 1,651987
HR,Lead,10,Tier 2,1412112
HR,Senior Dev,12,Tier 3,1328890
Finance,Manager,1,Tier 3,977304
Marketing,Manager,1,Tier 3,931524
IT,Analyst,8,Tier 1,960048
Sales,Analyst,7,Tier 3,727904
Support,Associate,0,Tier 1,504008
Marketing,Intern,10,Tier 1,988023
IT,Senior Dev,9,Tier 3,1155080
Sales,Director,6,Tier 1,1944354
Support,Intern,2,Tier 3,318145
Support,Lead,4,Tier 1,1165587
Marketing,Senior Dev,11,Tier 2,1365650
Finance,Director,5,Tier 1,1868393
Marketing,Lead,11,Tier 2,1517474
HR,Intern,4,Tier 1,569082
Marketing,Associate,16,Tier 1,1705772
HR,Senior Dev,16,Tier 3,1579481
Finance,Director,16,Tier 3,2187134
IT,Manager,11,Tier 1,1921341
Marketing,Intern,15,Tier 3,1094791
IT,Associate,18,Tier 1,1825895
Support,Associate,16,Tier 1,1671750
Sales,Intern,4,Tier 2,456421
Finance,Manager,15,Tier 2,2008053
IT,Lead,7,Tier 1,1385896
Marketing,Senior Dev,17,Tier 2,1806539
IT,Associate,14,Tier 2,1387145
HR,Lead,8,Tier 3,1207196
Operations,Lead,14,Tier 2,1691935
Finance,Analyst,9,Tier 1,1049711
IT,Manager,6,Tier 1,1586360
Marketing,Intern,6,Tier 2,630813
Finance,Analyst,14,Tier 2,1232820
Marketing,Analyst,6,Tier 1,799232
Operations,Analyst,18,Tier 3,1365023
Operations,Analyst,7,Tier 2,779905
Sales,Director,17,Tier 1,2781062
Marketing,Senior Dev,19,Tier 3,1735510
Finance,Senior Dev,2,Tier 3,727265
Marketing,Intern,9,Tier 1,895614
HR,Director,16,Tier 3,2154077
Operations,Analyst,2,Tier 2,467435
Marketing,Manager,12,Tier 3,1603409
Operations,Senior Dev,2,Tier 1,899866
Finance,Intern,7,Tier 3,621705
Support,Intern,11,Tier 2,956998
Sales,Analyst,14,Tier 2,1252535
Marketing,Senior Dev,16,Tier 2,1730547
Support,Intern,12,Tier 2,1009345
HR,Intern,0,Tier 1,248687
Operations,Lead,12,Tier 1,1758737
HR,Lead,11,Tier 1,1685229
Operations,Manager,1,Tier 2,1034502
Operations,Intern,2,Tier 2,374393
IT,Senior Dev,1,Tier 3,689805
Marketing,Director,12,Tier 2,2109788
Finance,Lead,17,Tier 1,2168543
Finance,Manager,2,Tier 2,1122586
Operations,Analyst,6,Tier 2,737773
Sales,Intern,19,Tier 3,1355084
Operations,Director,16,Tier 3,2138436
Operations,Senior Dev,11,Tier 1,1557984
Marketing,Lead,15,Tier 2,1749895
Sales,Lead,11,Tier 3,1388606
Marketing,Analyst,9,Tier 3,849837
Operations,Associate,6,Tier 2,859587
Marketing,Analyst,4,Tier 2,574816
Support,Lead,16,Tier 2,1798050
Marketing,Associate,12,Tier 2,1235933
IT,Analyst,17,Tier 2,1477619
Marketing,Director,17,Tier 1,2792037
Operations,Analyst,4,Tier 3,550600
HR,Manager,15,Tier 1,2245280
Support,Intern,13,Tier 1,1242054
Operations,Analyst,8,Tier 1,949494
Sales,Lead,16,Tier 2,1853208
Sales,Manager,3,Tier 1,1351883
Finance,Analyst,4,Tier 1,704452
Finance,Analyst,4,Tier 1,686898
Support,Senior Dev,5,Tier 2,960806
Sales,Senior Dev,13,Tier 2,1528970
HR,Associate,12,Tier 1,1384561
Marketing,Director,6,Tier 2,1700899
IT,Senior Dev,3,Tier 1,999842
Sales,Intern,7,Tier 2,708979
Finance,Manager,18,Tier 1,2481332
IT,Manager,13,Tier 2,1829593
HR,Associate,10,Tier 3,1019976
HR,Senior Dev,8,Tier 1,1347376
IT,Manager,2,Tier 3,1004199
HR,Analyst,5,Tier 1,735876
Finance,Associate,4,Tier 1,778245
HR,Intern,14,Tier 1,1270726
Marketing,Lead,16,Tier 2,1842600
Marketing,Associate,2,Tier 3,508297
Operations,Senior Dev,16,Tier 3,1556172
Support,Associate,9,Tier 2,1022850
Finance,Lead,17,Tier 2,1887425
IT,Director,16,Tier 3,2177319
Support,Intern,2,Tier 3,318831
HR,Senior Dev,2,Tier 3,744028
Support,Lead,14,Tier 2,1723720
HR,Analyst,3,Tier 2,532701
Finance,Director,4,Tier 3,1454641
Sales,Intern,10,Tier 3,788024
Marketing,Director,2,Tier 3,1333642
Support,Analyst,8,Tier 2,845602
Marketing,Analyst,1,Tier 1,445931
Finance,Manager,9,Tier 3,1439192
HR,Senior Dev,14,Tier 1,1812520
Operations,Senior Dev,4,Tier 2,952762
Marketing,Analyst,1,Tier 1,445559
Finance,Intern,14,Tier 2,1118133
Finance,Analyst,7,Tier 1,891754
Marketing,Manager,4,Tier 1,1400295
Marketing,Director,17,Tier 2,2441125
Marketing,Director,4,Tier 3,1419903
Marketing,Lead,12,Tier 1,1786755
Operations,Senior Dev,4,Tier 1,1041452
Support,Director,16,Tier 2,2384001
Marketing,Director,7,Tier 3,1599516
Support,Director,18,Tier 2,2497129
Marketing,Intern,2,Tier 3,291591
Support,Director,7,Tier 3,1620561
Finance,Intern,7,Tier 2,705082
Sales,Manager,12,Tier 1,2029080
IT,Lead,5,Tier 3,990695
Sales,Director,18,Tier 1,2871535
Sales,Analyst,7,Tier 3,692139
Support,Director,0,Tier 2,1321290
Support,Director,15,Tier 2,2298088
Support,Lead,12,Tier 3,1423130
Sales,Lead,12,Tier 2,1564088
Support,Director,9,Tier 2,1904670
Sales,Senior Dev,5,Tier 1,1148947
Finance,Lead,6,Tier 1,1343874
Finance,Manager,12,Tier 1,2004017
Finance,Senior Dev,18,Tier 3,1704302
IT,Director,9,Tier 2,1924329
Operations,Senior Dev,10,Tier 1,1481700
IT,Manager,6,Tier 1,1581766
HR,Analyst,17,Tier 1,1638787
IT,Analyst,1,Tier 3,378845
Operations,Manager,12,Tier 1,2021588
Sales,Manager,11,Tier 2,1719062
Sales,Analyst,1,Tier 1,441727
IT,Intern,12,Tier 2,991882
Support,Intern,16,Tier 1,1454832
Operations,Intern,7,Tier 2,683966
Support,Intern,1,Tier 2,268987
Support,Senior Dev,12,Tier 2,1423007
Support,Analyst,5,Tier 3,580706
Finance,Lead,6,Tier 2,1165257
Support,Manager,8,Tier 1,1737207
Operations,Manager,1,Tier 1,1171435
Support,Lead,14,Tier 3,1535821
Sales,Director,4,Tier 2,1559084
HR,Senior Dev,3,Tier 2,835059
Finance,Manager,3,Tier 2,1208417
HR,Analyst,3,Tier 3,497295
Operations,Lead,16,Tier 3,1644859
Marketing,Manager,16,Tier 3,1838073
HR,Director,0,Tier 2,1347365
IT,Associate,17,Tier 1,1747353
Finance,Analyst,13,Tier 3,1087567
Operations,Director,14,Tier 2,2238860
IT,Intern,11,Tier 1,1056939
Marketing,Director,2,Tier 1,1641427
Marketing,Analyst,11,Tier 1,1191510
Marketing,Intern,10,Tier 2,894064
Finance,Associate,5,Tier 1,876598
Support,Associate,14,Tier 1,1547570
Support,Intern,10,Tier 3,799241
HR,Manager,1,Tier 2,1052029
Support,Intern,1,Tier 2,292124
Marketing,Director,3,Tier 1,1709288
Operations,Manager,2,Tier 1,1251540
Marketing,Associate,8,Tier 3,866422
Sales,Intern,14,Tier 3,1051846
Marketing,Lead,10,Tier 3,1293411
IT,Senior Dev,1,Tier 2,742766
HR,Director,13,Tier 1,2497307
Sales,Analyst,10,Tier 3,892042
Marketing,Associate,2,Tier 2,594048
IT,Intern,11,Tier 2,944087
HR,Intern,14,Tier 3,1026335
Sales,Associate,4,Tier 1,798602
Marketing,Analyst,19,Tier 1,1818901
Marketing,Associate,18,Tier 2,1630196
Marketing,Manager,2,Tier 2,1097626
Finance,Intern,0,Tier 2,202857
Finance,Senior Dev,5,Tier 2,979982
Finance,Associate,1,Tier 3,431980
Finance,Intern,2,Tier 3,316431
Finance,Lead,16,Tier 2,1837752
HR,Manager,11,Tier 1,1946385
IT,Analyst,14,Tier 3,1133019
Finance,Manager,15,Tier 1,2239994
Marketing,Manager,7,Tier 2,1443563
Support,Associate,13,Tier 2,1318136
Marketing,Intern,16,Tier 1,1456444
IT,Associate,7,Tier 3,798782
HR,Analyst,13,Tier 2,1178017
Sales,Manager,19,Tier 2,2253110
Sales,Intern,2,Tier 1,387343
Marketing,Intern,11,Tier 1,1086652
Support,Senior Dev,2,Tier 2,777251
Operations,Intern,13,Tier 2,1048526
HR,Intern,13,Tier 3,961536
Finance,Director,11,Tier 3,1881027
Finance,Manager,3,Tier 2,1166712
Sales,Director,5,Tier 2,1629208
IT,Associate,1,Tier 1,599615
Sales,Director,7,Tier 1,2052738
Finance,Senior Dev,12,Tier 3,1326935
Operations,Director,17,Tier 1,2771589
Marketing,Senior Dev,17,Tier 3,1607773
Finance,Director,14,Tier 1,2561125
Sales,Manager,10,Tier 3,1491804
Finance,Associate,0,Tier 2,461195
HR,Director,5,Tier 3,1522648
IT,Director,7,Tier 3,1639930
Operations,Director,18,Tier 3,2296167
Sales,Manager,8,Tier 3,1393408
Support,Intern,11,Tier 1,1097269
Marketing,Director,14,Tier 2,2222783
Finance,Director,19,Tier 3,2345488
Support,Director,9,Tier 3,1719127
Marketing,Senior Dev,17,Tier 3,1647184
HR,Manager,1,Tier 1,1176368
Finance,Associate,0,Tier 1,516824
Marketing,Manager,12,Tier 3,1608333
Finance,Associate,0,Tier 3,393116
Marketing,Associate,19,Tier 3,1566985
IT,Senior Dev,6,Tier 2,1069201
IT,Senior Dev,5,Tier 3,893398
Marketing,Senior Dev,13,Tier 2,1498361
Operations,Associate,17,Tier 1,1748041
Marketing,Senior Dev,9,Tier 3,1119078
IT,Director,11,Tier 3,1881047
Marketing,Manager,10,Tier 3,1527660
Sales,Director,2,Tier 3,1339786
Support,Associate,5,Tier 3,688440
IT,Analyst,5,Tier 2,682296
HR,Senior Dev,6,Tier 2,1085614
HR,Senior Dev,8,Tier 2,1183291
Sales,Intern,7,Tier 3,626679
Operations,Manager,17,Tier 3,1893389
Support,Associate,19,Tier 3,1523629
Support,Analyst,14,Tier 2,1248826
Marketing,Manager,6,Tier 1,1578226
Support,Senior Dev,19,Tier 2,1916975
Operations,Director,3,Tier 2,1499653
Support,Associate,2,Tier 2,598446
Support,Senior Dev,8,Tier 1,1377019
Finance,Analyst,9,Tier 1,1056877
Marketing,Intern,10,Tier 2,865313
Operations,Associate,11,Tier 3,1040326
IT,Associate,11,Tier 3,1031560
Marketing,Lead,12,Tier 1,1762650
HR,Intern,18,Tier 2,1398022
Operations,Analyst,13,Tier 3,1102579
Marketing,Analyst,12,Tier 3,1008311
Finance,Manager,18,Tier 3,1974363
Finance,Lead,17,Tier 3,1700181
HR,Lead,17,Tier 1,2136082
HR,Analyst,4,Tier 2,612479
Sales,Analyst,8,Tier 3,775658
Operations,Manager,2,Tier 1,1259025
Marketing,Director,18,Tier 3,2278706
Sales,Director,14,Tier 3,2043120
Operations,Director,6,Tier 1,1950027
Support,Intern,16,Tier 2,1253005
HR,Manager,19,Tier 2,2261908
Sales,Associate,3,Tier 1,720963
Marketing,Analyst,19,Tier 1,1803723
Marketing,Analyst,17,Tier 2,1472864
Support,Analyst,18,Tier 2,1492703
Finance,Senior Dev,8,Tier 1,1326563
Support,Manager,1,Tier 3,952015
Sales,Manager,3,Tier 1,1363585
Operations,Manager,14,Tier 3,1736017
Finance,Manager,3,Tier 2,1217141
Support,Manager,6,Tier 3,1242201
Operations,Associate,18,Tier 1,1837778
Operations,Associate,11,Tier 1,1347866
Marketing,Lead,12,Tier 3,1423297
Support,Manager,7,Tier 3,1309342
Finance,Manager,0,Tier 3,897490
Support,Analyst,7,Tier 3,716723
HR,Lead,15,Tier 3,1582765
HR,Analyst,9,Tier 3,851899
HR,Director,13,Tier 3,1972861
Support,Analyst,1,Tier 2,399142
HR,Senior Dev,4,Tier 2,938965
Support,Analyst,12,Tier 2,1096648
IT,Lead,14,Tier 2,1696781
Finance,Intern,6,Tier 2,633064
Sales,Manager,19,Tier 2,2255089
Sales,Manager,6,Tier 2,1401893
Finance,Director,16,Tier 2,2372616
Operations,Lead,1,Tier 2,864596
Finance,Analyst,4,Tier 2,607006
IT,Manager,0,Tier 2,981927
Support,Analyst,11,Tier 2,1058419
Operations,Manager,12,Tier 1,2051214
Marketing,Director,14,Tier 2,2253198
HR,Analyst,10,Tier 3,922233
HR,Senior Dev,2,Tier 1,903397
Operations,Associate,13,Tier 3,1160831
Marketing,Intern,9,Tier 3,715724
Sales,Intern,9,Tier 2,795083
Operations,Intern,8,Tier 3,692240
Support,Lead,4,Tier 3,958403
Sales,Associate,7,Tier 1,1008994
Support,Intern,11,Tier 2,939040
Sales,Analyst,19,Tier 3,1452267
Sales,Lead,10,Tier 2,1455204
Finance,Director,14,Tier 1,2526116
HR,Manager,11,Tier 2,1712788
Support,Senior Dev,16,Tier 2,1722336
Finance,Intern,11,Tier 3,844135
Sales,Analyst,14,Tier 2,1225742
IT,Director,5,Tier 2,1620619
IT,Senior Dev,19,Tier 2,1904337
HR,Director,13,Tier 2,2164001
IT,Senior Dev,8,Tier 3,1097614
Support,Associate,4,Tier 3,635619
Finance,Manager,0,Tier 3,909030
IT,Analyst,2,Tier 3,410677
Operations,Senior Dev,4,Tier 1,1048404
Operations,Lead,4,Tier 1,1174856
Operations,Intern,16,Tier 2,1279997
Marketing,Director,11,Tier 1,2348737
Sales,Associate,19,Tier 2,1715892
Operations,Lead,17,Tier 3,1691239
HR,Intern,10,Tier 1,970125
Operations,Director,1,Tier 3,1275272
Operations,Associate,17,Tier 1,1803552
Sales,Associate,6,Tier 1,974494
IT,Lead,14,Tier 3,1516570
HR,Director,17,Tier 3,2199110
Support,Manager,11,Tier 1,1933605
Finance,Manager,19,Tier 2,2253062
HR,Lead,12,Tier 2,1544595
IT,Director,15,Tier 1,2596969
Marketing,Intern,9,Tier 1,912275
Support,Director,7,Tier 3,1600225
Sales,Manager,0,Tier 3,911974
Finance,Director,7,Tier 1,2018196
Operations,Analyst,5,Tier 3,607380
IT,Director,14,Tier 3,2055141
HR,Analyst,14,Tier 2,1272320
Marketing,Director,10,Tier 1,2242473
Marketing,Manager,17,Tier 2,2110625
Finance,Manager,16,Tier 1,2319089
HR,Intern,7,Tier 1,745302
Finance,Lead,7,Tier 3,1134912
IT,Senior Dev,11,Tier 3,1280138
Operations,Senior Dev,7,Tier 1,1282208
HR,Senior Dev,13,Tier 3,1380659
HR,Intern,0,Tier 1,255840
Finance,Associate,18,Tier 2,1611598
IT,Associate,15,Tier 1,1641733
IT,Associate,15,Tier 3,1283380
HR,Director,8,Tier 2,1862633
Support,Intern,1,Tier 1,332873
Marketing,Director,5,Tier 3,1519726
Finance,Associate,8,Tier 3,857848
Finance,Associate,15,Tier 1,1601924
HR,Manager,8,Tier 1,1747980
Operations,Associate,12,Tier 2,1221614
HR,Intern,8,Tier 2,757882
IT,Intern,3,Tier 2,436508
Finance,Lead,5,Tier 2,1099165
Finance,Lead,3,Tier 3,876213
Operations,Intern,18,Tier 1,1606321
Operations,Lead,17,Tier 2,1893116
Sales,Associate,8,Tier 1,1118406
HR,Lead,18,Tier 1,2212772
Finance,Senior Dev,10,Tier 3,1173712
Support,Analyst,6,Tier 2,722200
Support,Lead,14,Tier 2,1687616
Finance,Director,11,Tier 1,2332574
IT,Analyst,14,Tier 2,1233108
Marketing,Manager,18,Tier 1,2480643
Finance,Analyst,0,Tier 2,345360
Operations,Associate,16,Tier 2,1497010
Support,Director,11,Tier 3,1844437
Support,Intern,10,Tier 1,1009778
Finance,Senior Dev,7,Tier 1,1301269
Marketing,Director,9,Tier 3,1735537
Support,Director,13,Tier 1,2457040
Finance,Director,2,Tier 3,1312612
IT,Senior Dev,7,Tier 2,1127631
Support,Analyst,1,Tier 3,373461
Marketing,Analyst,11,Tier 2,1047636
Marketing,Manager,1,Tier 3,983551
IT,Manager,4,Tier 1,1422598
Finance,Director,11,Tier 3,1876819
HR,Lead,14,Tier 2,1672234
Marketing,Manager,15,Tier 2,1976966
Finance,Manager,5,Tier 1,1486173
Finance,Analyst,17,Tier 3,1316987
Operations,Associate,10,Tier 2,1128348
HR,Lead,10,Tier 3,1311974
IT,Associate,15,Tier 2,1459182
IT,Senior Dev,14,Tier 2,1610088
Finance,Lead,3,Tier 3,858906
Marketing,Analyst,18,Tier 2,1532814
Sales,Director,3,Tier 2,1501076
Operations,Associate,12,Tier 2,1239650
Operations,Lead,1,Tier 2,852413
Finance,Senior Dev,3,Tier 2,835151
IT,Associate,19,Tier 2,1691117
Operations,Associate,14,Tier 2,1347467
Support,Analyst,2,Tier 3,446463
IT,Lead,9,Tier 3,1264691
Marketing,Director,17,Tier 2,2424289
Finance,Manager,16,Tier 2,2059596
HR,Intern,3,Tier 2,422905
Sales,Analyst,10,Tier 2,994054
Operations,Lead,11,Tier 3,1378713
IT,Senior Dev,6,Tier 3,937052
IT,Analyst,6,Tier 3,653486
HR,Intern,16,Tier 2,1270489
IT,Intern,9,Tier 2,838199
HR,Analyst,3,Tier 3,504355
IT,Lead,3,Tier 2,950149
Finance,Senior Dev,6,Tier 3,989189
HR,Senior Dev,0,Tier 3,591675
Operations,Lead,12,Tier 3,1403673
Sales,Intern,14,Tier 3,1021130
Operations,Manager,12,Tier 2,1767222
IT,Analyst,8,Tier 1,997249
Finance,Director,8,Tier 1,2086393
Support,Analyst,9,Tier 3,869975
Finance,Manager,15,Tier 2,2000224
IT,Analyst,4,Tier 2,618851
Marketing,Analyst,17,Tier 1,1659575
Operations,Analyst,18,Tier 2,1524451
Support,Intern,6,Tier 1,706041
Marketing,Lead,17,Tier 1,2157778
Marketing,Associate,3,Tier 1,698040
HR,Lead,17,Tier 3,1716160
Finance,Lead,2,Tier 3,842331
Marketing,Intern,1,Tier 2,285344
Marketing,Lead,16,Tier 1,2086621
Support,Associate,15,Tier 3,1272852
Marketing,Analyst,14,Tier 1,1422042
Marketing,Intern,6,Tier 2,609711
HR,Associate,10,Tier 1,1277993
Operations,Associate,8,Tier 3,877213
HR,Intern,12,Tier 1,1159420
Finance,Intern,1,Tier 2,273727
HR,Intern,2,Tier 2,326358
Sales,Intern,17,Tier 1,1523482
Marketing,Director,9,Tier 2,1916117
Sales,Associate,6,Tier 2,838496
Finance,Director,10,Tier 2,1994311
IT,Intern,13,Tier 3,988467
HR,Associate,5,Tier 2,750793
Sales,Intern,6,Tier 3,569532
Support,Manager,13,Tier 1,2082323
Sales,Associate,7,Tier 1,1041820
IT,Director,0,Tier 2,1297843
Support,Intern,2,Tier 2,338456
Operations,Associate,7,Tier 2,926624
Finance,Lead,5,Tier 3,972472
Finance,Analyst,6,Tier 2,745859
Support,Intern,12,Tier 2,988704
Sales,Analyst,1,Tier 3,335051
HR,Director,4,Tier 3,1412475
Operations,Director,7,Tier 2,1808549
HR,Lead,7,Tier 3,1148929
HR,Senior Dev,2,Tier 3,730747
Operations,Manager,2,Tier 3,998533
Sales,Senior Dev,5,Tier 1,1100249
Operations,Associate,11,Tier 3,1049201
Marketing,Intern,5,Tier 2,578576
Marketing,Manager,2,Tier 2,1151745
Marketing,Manager,19,Tier 1,2552007
Sales,Manager,11,Tier 3,1560137
Support,Analyst,3,Tier 3,497556
IT,Lead,12,Tier 1,1793604
Finance,Senior Dev,14,Tier 2,1579592
Finance,Lead,15,Tier 2,1765433
Sales,Lead,15,Tier 3,1573083
Finance,Director,16,Tier 2,2392479
IT,Director,11,Tier 3,1850103
Finance,Intern,19,Tier 3,1320754
Operations,Manager,15,Tier 1,2235901
Support,Manager,12,Tier 3,1597446
Marketing,Senior Dev,18,Tier 2,1866231
Sales,Intern,4,Tier 1,575251
Operations,Intern,7,Tier 3,631323
Finance,Senior Dev,0,Tier 3,602376
HR,Lead,19,Tier 1,2290421
Finance,Associate,17,Tier 1,1771342
Sales,Director,0,Tier 2,1340164
Marketing,Director,15,Tier 1,2605699
Sales,Manager,5,Tier 1,1479715
Marketing,Manager,1,Tier 2,1085900
Sales,Senior Dev,13,Tier 3,1366163
IT,Director,0,Tier 1,1475782
HR,Director,17,Tier 2,2470945
HR,Manager,8,Tier 2,1537492
Finance,Senior Dev,1,Tier 1,825682
HR,Analyst,8,Tier 2,846880
HR,Associate,10,Tier 3,1008067
Support,Senior Dev,3,Tier 3,787174
HR,Director,5,Tier 3,1487826
IT,Director,10,Tier 2,1960382
HR,Manager,4,Tier 1,1419819
Marketing,Lead,9,Tier 2,1370875
Operations,Manager,14,Tier 1,2178328
HR,Manager,9,Tier 1,1795169
HR,Analyst,12,Tier 3,1024594
HR,Analyst,9,Tier 1,1027629
Sales,Lead,5,Tier 1,1272290
HR,Senior Dev,15,Tier 3,1501750
Finance,Director,19,Tier 2,2584461
IT,Lead,8,Tier 1,1457686
Marketing,Intern,2,Tier 1,376721
Support,Analyst,1,Tier 1,472130
IT,Intern,17,Tier 3,1197373
Sales,Senior Dev,19,Tier 3,1765249
Finance,Director,9,Tier 2,1889656
Support,Associate,1,Tier 1,553984
Operations,Lead,0,Tier 1,898411
Finance,Associate,13,Tier 3,1181552
IT,Senior Dev,13,Tier 3,1381055
Support,Intern,13,Tier 3,964716
HR,Lead,19,Tier 3,1821138
Operations,Manager,2,Tier 2,1143112
Support,Senior Dev,5,Tier 2,1010200
HR,Director,12,Tier 3,1938244
IT,Analyst,1,Tier 1,468519
HR,Intern,1,Tier 3,247347
Marketing,Senior Dev,14,Tier 3,1456659
IT,Director,12,Tier 3,1913563
IT,Manager,12,Tier 2,1760734
Sales,Analyst,13,Tier 1,1348179
IT,Director,17,Tier 2,2464188
IT,Manager,5,Tier 1,1521871
Marketing,Director,10,Tier 3,1790733
Operations,Manager,1,Tier 2,1063947
Support,Manager,18,Tier 3,1956430
IT,Manager,18,Tier 2,2161828
IT,Senior Dev,18,Tier 2,1860913
Operations,Analyst,9,Tier 2,933256
Operations,Manager,1,Tier 1,1225677
HR,Senior Dev,10,Tier 3,1219841
IT,Lead,14,Tier 3,1535032
Sales,Manager,18,Tier 3,1994936
Sales,Intern,2,Tier 3,295448
Finance,Lead,13,Tier 3,1459074
Operations,Manager,6,Tier 3,1261823
Finance,Senior Dev,15,Tier 3,1493291
Marketing,Intern,0,Tier 2,222003
Marketing,Lead,3,Tier 2,972406
HR,Lead,7,Tier 3,1113312
HR,Manager,4,Tier 1,1396382
Support,Analyst,19,Tier 2,1557292
Marketing,Senior Dev,19,Tier 1,2178187
Finance,Intern,5,Tier 2,572454
IT,Director,17,Tier 1,2760422
Sales,Lead,4,Tier 3,942371
Support,Analyst,2,Tier 1,526238
IT,Director,13,Tier 3,1981174
Support,Director,4,Tier 2,1592908
Support,Analyst,4,Tier 1,649481
IT,Director,5,Tier 2,1627758
Finance,Senior Dev,9,Tier 1,1419022
IT,Senior Dev,6,Tier 2,1051476
Support,Senior Dev,0,Tier 1,742740
Operations,Director,17,Tier 3,2237596
Marketing,Intern,17,Tier 1,1542076
Finance,Associate,12,Tier 1,1370671
Sales,Associate,3,Tier 1,736424
IT,Analyst,2,Tier 1,548744
IT,Intern,10,Tier 1,974798
HR,Director,19,Tier 3,2365039
Finance,Intern,3,Tier 1,470121
Sales,Manager,19,Tier 1,2557487
IT,Manager,17,Tier 2,2103223
Marketing,Director,2,Tier 3,1304056
Support,Senior Dev,19,Tier 3,1740620
Sales,Director,5,Tier 3,1529945
IT,Associate,9,Tier 1,1188404
HR,Intern,16,Tier 2,1299352
Finance,Senior Dev,16,Tier 3,1533191
Finance,Intern,8,Tier 1,845000
Sales,Analyst,0,Tier 2,349723
IT,Senior Dev,15,Tier 2,1626172
Marketing,Intern,0,Tier 3,193561
IT,Director,17,Tier 1,2765281
IT,Senior Dev,7,Tier 3,1015364
Sales,Director,10,Tier 3,1797425
Operations,Director,7,Tier 3,1618602
Finance,Director,7,Tier 3,1613472
IT,Analyst,14,Tier 1,1403080
Finance,Intern,12,Tier 3,921186
Marketing,Associate,4,Tier 2,704111
Support,Intern,11,Tier 3,852614
Finance,Associate,4,Tier 1,811991
HR,Manager,12,Tier 3,1642423
HR,Intern,10,Tier 1,1006224
HR,Intern,12,Tier 1,1148082
Sales,Director,2,Tier 2,1457479
Finance,Lead,16,Tier 3,1648052
Finance,Senior Dev,19,Tier 2,1906804
Marketing,Analyst,7,Tier 1,914857
IT,Director,13,Tier 3,1998355
Sales,Associate,10,Tier 3,974531
Sales,Intern,14,Tier 3,1048098
HR,Senior Dev,6,Tier 2,1085890
HR,Director,18,Tier 3,2278138
Operations,Manager,4,Tier 1,1436732
Operations,Manager,7,Tier 1,1625439
Marketing,Manager,9,Tier 2,1596533
Sales,Director,14,Tier 1,2533279
Sales,Associate,15,Tier 1,1639251
Sales,Lead,16,Tier 3,1647630
Support,Associate,7,Tier 1,1047991
Sales,Analyst,7,Tier 1,905144
Operations,Lead,1,Tier 2,837182
Finance,Associate,17,Tier 3,1415538
Sales,Director,16,Tier 1,2720979
Sales,Manager,3,Tier 3,1076189
Finance,Associate,8,Tier 3,909560
Marketing,Associate,17,Tier 1,1791857
HR,Associate,3,Tier 1,720227
HR,Director,7,Tier 1,2012153
Operations,Senior Dev,12,Tier 3,1332676
Marketing,Lead,15,Tier 3,1579503
Finance,Director,1,Tier 3,1287866
Finance,Intern,9,Tier 2,829838
Finance,Analyst,16,Tier 1,1603279
Operations,Analyst,17,Tier 3,1316806
Finance,Manager,8,Tier 2,1510168
Support,Associate,7,Tier 1,1033714
Operations,Associate,13,Tier 2,1323419
Support,Intern,17,Tier 1,1522413
Operations,Senior Dev,19,Tier 3,1712461
Operations,Senior Dev,19,Tier 1,2191804
Finance,Analyst,11,Tier 1,1197935
Operations,Senior Dev,18,Tier 2,1851453
Operations,Lead,16,Tier 1,2101183
HR,Senior Dev,2,Tier 2,792841
Support,Associate,6,Tier 3,740736
Support,Associate,11,Tier 3,1080408
IT,Senior Dev,14,Tier 3,1466849
Support,Associate,12,Tier 2,1241933
Operations,Manager,7,Tier 1,1653069
HR,Associate,7,Tier 1,1050533
Finance,Associate,6,Tier 1,949334
IT,Manager,11,Tier 2,1728719
Operations,Analyst,10,Tier 1,1123927
Finance,Director,10,Tier 2,2008712
Sales,Analyst,12,Tier 1,1264921
Support,Intern,1,Tier 1,340268
IT,Director,14,Tier 3,2065731
Sales,Analyst,17,Tier 2,1466638
Operations,Manager,14,Tier 2,1920850
Support,Lead,11,Tier 3,1387804
IT,Intern,10,Tier 2,877044
Support,Manager,0,Tier 2,968706
Operations,Associate,18,Tier 3,1466406
IT,Manager,6,Tier 1,1584019
Sales,Lead,14,Tier 2,1673496
Operations,Intern,4,Tier 1,549806
HR,Manager,7,Tier 2,1463321
Operations,Lead,15,Tier 3,1592656
IT,Senior Dev,11,Tier 1,1570860
HR,Analyst,2,Tier 2,448832
IT,Intern,3,Tier 2,436231
Operations,Analyst,2,Tier 1,516727
Marketing,Intern,9,Tier 1,952185
Sales,Manager,10,Tier 3,1472520
Operations,Lead,9,Tier 3,1244196
Support,Analyst,13,Tier 1,1334566
Marketing,Associate,1,Tier 3,461656
Support,Analyst,15,Tier 3,1207900
HR,Lead,8,Tier 1,1496699
Finance,Intern,3,Tier 3,397701
Support,Intern,9,Tier 2,803033
Sales,Associate,11,Tier 3,1056832
IT,Associate,13,Tier 3,1200189
Sales,Senior Dev,1,Tier 2,736372
Sales,Associate,19,Tier 1,1946786
Operations,Lead,15,Tier 2,1764546
IT,Senior Dev,5,Tier 1,1107087
Sales,Director,18,Tier 1,2870276
Operations,Intern,3,Tier 1,454596
